Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
Scrypt,0,41.99995383,42.0
Scrypt,0,1055184902.0,532000000.0
X13,0,29279424623.0,314159000000.0
SHA-256,2,17927175.0,21000000.0
Ethash,2,107684222.7,0.0
Scrypt,2,63039243.3,84000000.0
X11,0,9031294.376,22000000.0
CryptoNight-V7,2,17201143.14,0.0
Ethash,2,113359703.0,210000000.0
Equihash,2,7383056.25,21000000.0
SHA-512,2,2741570000.0,3600570502.0
Multiple,2,11406219141.0,21000000000.0
SHA-256,0,1288862.0,22000000.0
SHA-256,2,11995334.88,12500000.0
Scrypt,2,5768310.0,21000000.0
X15,0,25542535.59,350000000.0
X11,2,11149734.0,20000000.0
Scrypt,2,12205795.44,64000000.0
Scrypt,0,18135099.99,16768584.0
Scrypt,0,635423900.0,0.0
Multiple,2,1688254250.0,2000000000.0
Scrypt,2,88.0,384000000000.0
SHA-256,2,170204389.8,169795588.0
Scrypt,2,128940951.2,250000000.0
Scrypt,2,7357794.793,100000000.0
Scrypt,0,123062801.1,0.0
Quark,2,259557164.9,247000000.0
Groestl,2,49548585.14,84000000.0
Scrypt,2,33442988.34,48166000.0
Scrypt,0,42579.4769,500000.0
Scrypt,2,7219956.646000001,21000000.0
Scrypt,0,1039116.651,1000000.0
Scrypt,2,4703879.518,13140000.0
X11,2,4996986.206,18000000.0
Scrypt,2,39999997300.0,40000000000.0
Groestl,0,3304487.747,4380000.0
Multiple,2,15929530669.0,16555000000.0
SHA-256,2,18773857500.0,21000000000.0
Scrypt,2,12539015187.0,13500000000.0
Scrypt,2,20910478.81,21000000.0
Scrypt,2,218871896.5,299792458.0
Scrypt,2,19496786.31,32000000.0
PoS,2,5679705.0,0.0
Scrypt,2,461829905.3,0.0
Scrypt,2,1142732.149,11235813.0
NeoScrypt,2,208669093.0,336000000.0
Scrypt,2,884125802.0,1420609614.0
Scrypt,2,65672720.47,70000000.0
Scrypt,2,41658648.0,72245700.0
Scrypt,0,89266933.68,120000000.0
X11,2,1678520091.0,0.0
Scrypt,2,90595753019.0,90600000000.0
X11,0,17650913.97,22000000.0
SHA-256,2,21089349.0,21000000.0
Scrypt,2,151447649.8,265420800.0
Scrypt,2,19326319.14,20000000.0
Scrypt,2,1104344.229,1350000.0
SHA3,0,61445805.0,100000000.0
Scrypt,2,38151999.99,42000000.0
HybridScryptHash256,2,40431856.9,200000000.0
Scrypt,2,21293925445.0,0.0
Scrypt,2,5804204.887999999,10000000.0
SHA-256,0,1613836100.0,2419200000.0
Scrypt,2,16180000.0,16180000.0
X13,0,66087096.21,0.0
Scrypt,2,2366066306.0,15000000000.0
SHA-256,2,14736400.0,21000000.0
Scrypt,2,334709223.5,337000000.0
X13,0,15156364.33,0.0
NeoScrypt,0,3220616.2789999996,3770000.0
Scrypt,0,222677226.0,420000000.0
Scrypt,0,73959274.63,98000000.0
Scrypt,0,29315567169.0,0.0
Scrypt,2,1104157.422,21000000.0
Scrypt,2,24215181.73,250000000.0
Scrypt,2,25593737.14,51200000.0
X11,2,50707661.75,0.0
X11,0,1177.0,1000.0
SHA-256,2,563336541.3,888000000.0
Multiple,2,80260463.73,100000000.0
SHA-256,2,43536800.0,47011968.0
PHI1612,2,1622326490.0,2300000000.0
X11,0,1431851.0,10000000.0
SHA-256,2,22935396.0,42000000.0
SHA-256,2,2278150.0,80000000.0
SHA-256,2,200911.7915,250000.0
X11,2,1207310.0,0.0
Scrypt,0,1098952593.0,1600000000.0
Scrypt,0,50235211.14,100000000.0
Scrypt,2,23150892.17,23000000.0
Scrypt,2,32021108.41,0.0
Lyra2REv2,2,51173723.82,84000000.0
Scrypt,2,119606941.0,265420800.0
X11,0,6950831.097,5500000.0
Multiple,2,100000000.0,0.0
SHA-256,2,39195739.36,45000000.0
X13,0,33093725.41,0.0
Scrypt,0,147990238.0,1000000000.0
CryptoNight,2,184067000000.0,184467000000.0
CryptoNight,2,6906587610.0,10000000000.0
Shabal256,2,1813033920.0,2158812800.0
Counterparty,2,51173144.0,500000000.0
Scrypt,2,68194674.87,105120000.0
SHA-256,0,39121694.0,68000000.0
Groestl,0,53193831.0,0.0
Scrypt,2,415032420.0,1680000000.0
Scrypt,2,27184490.39,0.0
Scrypt,2,137517654.4,166386000.0
X13,0,2022464.8869999999,12000000.0
Scrypt,2,181919.2436,2628000.0
Scrypt,2,174646113.9,500000000.0
Scrypt,2,152270664.9,160000000.0
Scrypt,0,1467841.0,0.0
X13,0,7096834.0,10000000.0
Scrypt,2,792537250.0,1000000000.0
Stanford Folding,2,719416990.0,1000000000.0
X11,2,2689812.0,20000000.0
Multiple,2,65113302.0,0.0
QuBit,2,6365285.0,0.0
Scrypt,2,10140044.44,3371337.0
Scrypt,0,11604722.0,20000000.0
Scrypt,2,4610340641.0,10000000000.0
M7 POW,2,708506520.0,1840000000.0
Scrypt,2,619478.0,619478.0
SHA-256,2,12462620.0,21000000.0
Scrypt,2,88213.0,92000000000.0
X11,0,1513704.0,0.0
SHA3,2,63657220.0,78000000.0
X11,2,32221574.82,33000000.0
Lyra2RE,2,13742738.0,65789100.0
SHA-256,2,14747200.0,53760000.0
QUAIT,0,8568038.359,5060000.0
X11,2,15863837.5,21000000.0
X11,2,329200.0164,0.0
Scrypt,2,32565300.0,210240000.0
Scrypt,2,75614500.0,250000000.0
Scrypt,2,100000000.0,100000000.0
Ethash,2,10495278.0,16906397.0
X13,0,23042604.0,50000000.0
Blake2b,2,33098296530.0,0.0
SHA-256,0,43059794.8,1000000000.0
X15,0,13530556.42,26298000.0
X11,2,15867695.0,16000000.0
SHA-256,2,20997476.87,21000000.0
BLAKE256,0,10365046.93,21000000.0
Scrypt,2,210000000.0,210000000.0
1GB AES Pattern Search,2,11448949.0,81962100.0
SHA-256,0,3669691.845,22000000.0
X11,0,10996318099.0,26550000000.0
Scrypt,2,69836100.0,84000000.0
SHA-256,0,5129014.0,10500000.0
SHA-256,2,21739971929.0,21626280000.0
NIST5,0,10069449032.0,0.0
Scrypt,0,8998743.241,42000000.0
Scrypt,2,40477042.0,221052632.0
X11,2,45110324.0,84000000.0
Dagger,2,5702048.0,30000000.0
Scrypt,2,636462.5598,168351300.0
X11GOST,2,17263355.0,24000000.0
X11,0,10407269.79,384000000.0
Scrypt,2,36971236047.0,99000000000.0
SHA-256,0,4377081.61,40000000.0
Scrypt,2,2147483647.0,2147483647.0
PoS,2,20000000.0,20000000.0
Scrypt,2,6570807.657000001,20000000.0
ScryptOG,2,84000000.0,84000000.0
X11,2,13654082.5,25000000.0
X11,0,134554941.2,75000000.0
SHA-256,0,1195525.0,222725000.0
SHA-256,0,16662820.0,525000000.0
NIST5,0,83450403.0,90000000.0
X11,0,24387724.5,139000000.0
Scrypt,2,616448.0,616448.0
POS 3.0,2,38589808.67,33500000.0
Scrypt,0,813092338.6,2000000000.0
Scrypt,0,4526324.0,44333333.0
Scrypt,0,100000000.0,100000000.0
X13,2,5000000.0,200000000.0
X11,2,1377917.0,25000000.0
X11,2,657000000.0,657000000.0
Equihash,2,115898131.0,200000000.0
X11,0,15563873.0,50000000.0
Scrypt,0,43165500.0,90000000.0
CryptoNight,2,7822432.723999999,10000000.0
SHA-256,0,595429.0,21000000.0
SHA-256,2,6243840.0,9736000.0
X11,0,657636.3455,3000000.0
Scrypt,0,2581970.0,21000000.0
Multiple,2,1000000000.0,1200000000.0
Scrypt,0,1939889.0,0.0
Scrypt,2,116845228.0,200000000.0
Scrypt,2,169598616.0,0.0
SHA-256,2,9106714.0,10638298.0
Scrypt,2,665200057.0,3100000000.0
Scrypt,2,11119200.0,30000000.0
SHA-256D,0,19577787259.0,20000000000.0
PoS,2,74033806.79,74000000.0
Scrypt,0,33522957.0,0.0
X11,0,264678458.3,1500000000.0
Lyra2Z,2,7568281.25,21400000.0
PoS,2,148716816.0,39999898.0
X13,2,2500124.0,2500124.0
X14,0,100000000.0,100000000.0
PoS,2,17818682.17,301000000.0
SHA-256D,0,1082162636.0,7506000000.0
Ethash,2,26205539.0,26205539.0
Equihash,2,5613550.0,21000000.0
DPoS,2,108202084.0,125000000.0
X11,0,18342813.0,30000000.0
Scrypt,2,196297971.0,10000000000.0
X11,2,824000000.0,500000000.0
X13,0,92192822723.0,850000000.0
X11,0,3853326.777,3853326.777
PoS,2,50000000.0,50000000.0
Scrypt,0,17089600.0,38540000.0
Scrypt,0,2449577.415,42000000.0
X11,2,61364813.0,228000000.0
PoS,2,20000000.0,20000000.0
X11,0,6069482.0770000005,60000000.0
SHA-256,0,12416554.0,20000000.0
Scrypt,0,20244023.64,33000000.0
X11,2,75590369.0,76500000.0
Scrypt,0,11080722.38,28000000.0
Scrypt,0,10914418.0,650659833.0
X11,0,814671.0,5000000.0
CryptoNight,2,978145.0,21000000.0
Scrypt,0,8377873.0,144000000.0
Scrypt,2,33813143822.0,32514916898.0
Scrypt,0,3472983.0,13000000.0
Scrypt,0,3315789.0,3315789.0
Quark,2,10517772.74,15000000.0
QuBit,0,30227750.0,78835200.0
Scrypt,2,894026.0,2714286.0
CryptoNight,2,9357088.0,25000000.0
Lyra2RE,2,1876146.4440000001,9999999.0
Scrypt,0,23965372.0,500000000.0
SHA-256,0,2526078.475,21000000.0
X11,0,5659096.957,9354000.0
Scrypt,0,11821728.0,20000000.0
X11,2,536982074.0,100000000000.0
Scrypt,0,308179.0,21933333.0
CryptoNight-V7,2,10969318.52,185000000.0
Scrypt,2,2922613.9639999997,55000000.0
Scrypt,2,110000000.0,110000000.0
Scrypt,2,3115258.0,3360000.0
X13,2,14524851.48,14524851.48
X11,2,30385540.0,1000000000.0
Equihash,2,6921653.9,17000000.0
Scrypt,0,1000000000.0,1000000000.0
Scrypt,2,99843408.32,100000000.0
Lyra2RE,2,18545757.5,21000000.0
Scrypt,2,36050365.0,34426423.0
Dagger-Hashimoto,2,2232901.0,2232901.0
X11,0,13162749.09,100000000.0
Blake2S,0,12184195.93,36900000.0
X11,0,110630387.9,110000000.0
Scrypt,2,64096052.0,4000000000.0
PoS,2,111135836.9,110290030.0
X11,0,21521322.01,100000000.0
NIST5,2,10123200.0,48252000.0
PoS,2,401421401.0,400000000.0
X11,0,121665451.6,500000000.0
Scrypt,0,5368934.0,21212121.0
Scrypt,0,1148324.0,28600000.0
Scrypt,0,500000.0,1000000000.0
SHA-256,2,100545745.0,75000000000.0
X11,0,17171382.0,40000000.0
Scrypt,2,20276099.15,35520400.0
Scrypt,2,295135466.4,2000000000.0
SHA-256,2,1317747500.0,2500000000.0
PoS,2,11390225.97,30000000.0
Scrypt,0,21358764.0,105000000.0
X15,0,40659020000.0,90000000000.0
SHA-256,2,10343113.0,200084200.0
Scrypt,2,13673406.43,72000000.0
POS 3.0,2,100000000.0,100000000.0
CryptoNight-V7,2,69036016.83,105000000.0
536,0,22801882871.0,50000000000.0
Argon2d,2,19784224.65,0.0
Blake2b,2,133248297.0,340282367.0
Cloverhash,2,18407259.09,30000000.0
CryptoNight,2,1809467143.0,2000000000.0
NIST5,0,4171382.0,10000000.0
X11,2,35138975.0,100000000.0
NIST5,0,62942075.0,120000000.0
Skein,0,6804362.0,100000000.0
Scrypt,2,18133195.0,19276800.0
X13,0,21268092.0,30000000.0
Scrypt,2,5167775.0,75000000.0
X11,2,26042364.37,60000000.0
X11,2,2622886.0,18900000.0
Scrypt,0,9044930943.0,50000000000.0
CryptoNight,2,14161803.0,54000000.0
X13,0,21917018.05,18898187.62
Time Travel,2,17801865.16,21000000.0
Scrypt,2,163055000000.0,200000000000.0
Keccak,2,2241009149.0,5000000000.0
SkunkHash v2 Raptor,2,107972766.0,137500000.0
X11,2,122475638.4,1100000000.0
Skein,0,47331802.48,100000000.0
SHA-256,2,17995589.65,21000000.0
X11,0,12569262.54,9507271.0
Scrypt,2,18663297.35,17405891.2
VeChainThor Authority,2,55454734800.0,86712634466.0
Scrypt,2,485214.0,10500000000.0
PoS,2,4000000.0,61599965.0
Scrypt,2,143007000000.0,0.0
Scrypt,2,9704042.0,20000000.0
Scrypt,2,17453749.4,84000000.0
Scrypt,2,32646731.06,100000000.0
Scrypt,2,33716526.0,100000000.0
Scrypt,0,19539588.0,48252000.0
Scrypt,0,4200000.0,4200000.0
CryptoNight,2,8946653.0,88888888.0
SHA-512,2,25000000.0,91388946.0
Ouroboros,2,25927070538.0,45000000000.0
X11,0,7262402.043,27000000.0
Equihash,2,5211553258.0,21000000000.0
NeoScrypt,0,182638400.0,400000000.0
X11,2,2702855669.0,1800000000.0
Scrypt,0,1140734.9170000001,15733333.0
NeoScrypt,2,4165967.575,27000000.0
Lyra2REv2,2,24000000.0,24000000.0
Equihash,2,17202361.09,21000000.0
Scrypt,0,48459472454.0,25000000000.0
SHA-256,0,92050800.0,100000000.0
NIST5,0,560563220.0,1200000000.0
PHI1612,0,8305775.318,60000000.0
Dagger,2,33986980.0,156306732.7
Scrypt,0,2149688.0,21000000.0
Quark,0,30711550.53,200000000.0
Scrypt,2,99990001.49,100000000.0
POS 2.0,2,12330806.31,21000000.0
Scrypt,0,16362544.99,14788275.99
SHA-256,2,8999999990.0,9000000000.0
X11,2,175215859.0,350000000.0
NeoScrypt,2,6375259.04,45000000.0
Ethash,2,12756367.0,280000000.0
NeoScrypt,2,5832306.875,31800000.0
Quark,0,65269530.1,57879300.0
X11,0,38198594.83,144000000.0
DPoS,2,288090567.5,500000000.0
NIST5,0,28399150208.0,30000000000.0
X13,0,183534024.9,210000000.0
Multiple,2,481730566.6,660000000.0
Scrypt,0,110976977.3,210000000.0
CryptoNight,2,19281821413.0,85000000000.0
CryptoNight,2,4500000.0,12500000.0
Ethash,2,520891780.0,10000000000.0
NIST5,2,13247178.88,27716121.0
Scrypt,2,5761512.81,100000000.0
Quark,2,16955764.9,20000000.0
X11,2,80316207.0,550000000.0
CryptoNight-V7,2,441250233.4,999481516.0
Scrypt,0,4911500269.0,50000000000.0
Scrypt,0,8419402.321,150000000.0
Scrypt,2,3964201249.0,4999999999.0
X11,0,45174214.11,50000000.0
BLAKE256,2,30089671531.0,90000000000.0
X11,2,4229040.504,19800000.0
Scrypt,0,5573908.0,50000000.0
Scrypt,0,49933217.75,70000000.0
NeoScrypt,2,7847417.334,21000000.0
NeoScrypt,2,3982139.2460000003,32000000.0
Quark,2,27299680.0,120000000.0
NeoScrypt,2,299797953.0,500000000.0
Scrypt,2,45483049.34,64000000.0
Scrypt,0,591022748.0,900000000.0
Scrypt,0,2504486.228,4000000.0
X11,2,4407252.0,21000000.0
Scrypt,2,25000000000.0,25000000000.0
X11,2,8478104.34,23000000.0
SHA-256,2,20166000.0,20166000.0
C11,2,11916588.09,23000000.0
POS 3.0,2,20445861.53,25000000.0
Ethash,2,1618033.0,1618033.0
Scrypt,2,17630550.21,24000000.0
Scrypt,2,9399342.527999999,30000000.0
CryptoNight,2,53139835214.0,1000000000000.0
SkunkHash,2,4818338.989,16600000.0
Scrypt,0,234846265.8,232000000.0
CryptoNight,2,133932467.8,336000000.0
X11,2,3680297312.0,3980000000.0
Scrypt,2,10000000000.0,10000000000.0
SHA-256,0,3427006.0,25000000.0
Dagger,2,107325266.0,100000000.0
Lyra2REv2,2,643795911.5,1100000000.0
X13,2,230298925.0,800000000.0
Proof-of-BibleHash,2,1772091550.0,5200000000.0
SHA-256 + Hive,2,638382332.2,840000000.0
Scrypt,2,12446100.0,40000000.0
Scrypt,2,14491014421.0,18406979840.0
Skein,0,11661844.47,72000000.0
X11,0,3521630.0,25000000.0
Skein,0,2985971.0,69000000.0
X11,2,211297638.5,500000000.0
C11,0,11251342.19,19340594.0
Proof-of-Authority,2,204479039.0,252460800.0
X11,0,2167827.1,25000000.0
XEVAN,0,419275.38,60000000.0
Scrypt,2,25570013.13,124000000.0
VBFT,2,650848625.0,1000000000.0
Ethash,2,247612453.0,6500000000.0
CryptoNight,2,80049082.91,1000000000.0
Scrypt,2,4070212.1489999997,21000000.0
SHA-256,2,2360478329.0,10044655076.0
IMesh,2,25000000.0,25000000.0
PHI1612,0,1360250.0,32000000.0
Quark,2,8928876.686,11892000.0
NIST5,0,13787854.63,50000000.0
Scrypt,0,845637.8135,3000000.0
Scrypt,0,1182153.5,5000000.0
Equihash,2,71355477.0,70000000.0
Scrypt,2,267297676.3,500000000.0
Lyra2Z,2,27340501.65,300000000.0
Green Protocol,2,9803691.362,21000000.0
PoS,2,21876586.85,88000000.0
Scrypt,0,9880502.372000001,30000000.0
NeoScrypt,2,4478901.291999999,21000000.0
Semux BFT consensus,2,1231147.0,100000000.0
X11,2,31801461.19,100000000.0
Quark,0,139739596.5,200000000.0
PoS,2,11075254.09,80000000.0
CryptoNight,2,16016864.0,18400000.0
X16R,2,4403800.0,45000000.0
Scrypt,0,1404157529.0,5121951220.0
NIST5,2,21069346.25,21000000.0
Lyra2RE,2,5097689.711,26280000.0
XEVAN,2,10904963.09,21000000.0
Tribus,2,795447.0,18000000.0
Scrypt,2,38706809.47,26000000.0
Lyra2Z,2,6986399.704,10500000.0
Scrypt,2,3783270.0,30000000.0
Scrypt,0,8094818.3889999995,110000000.0
CryptoNight,2,84300.0,600000518.0
X11,2,11359634.65,8148139.0
SHA-256D,0,658584.4616,7500000.0
CryptoNight Heavy,2,19153632.0,150000000.0
CryptoNight,2,41294520017.0,184000000000.0
Scrypt,0,25330252.32,100000000.0
Scrypt,0,10200000000.0,10200000000.0
X11,2,7256580.0,62000000.0
Scrypt,2,7630000.015,44000000.0
Jump Consistent Hash,2,135862416.0,168000000.0
SHA-256D,0,33238183.72,100000000.0
CryptoNight,2,560085952.4,1000000000.0
Scrypt,0,21599339.67,84000000.0
X15,2,30284196.37,90000000.0
Scrypt,2,77872059788.0,92000000000.0
Quark,2,2716264.953,650000000.0
Scrypt,0,63613903.88,250000000.0
SHA-512,2,60045900.0,545399000.0
SHA-256,2,57811001.0,100262205.0
DPoS,2,18194936.0,18081806.0
X16R,2,8125865.021000001,22075700.0
HMQ1725,2,8645406.168,21000000.0
X11,2,4993030.697,21000000.0
Scrypt,2,8240763.495,15600000.0
X16R,0,36923120.62,82546564.0
Quark,2,7082392.247,21000000.0
Quark,0,5919489.767999999,5151000.0
Scrypt,2,1042012.452,16880000000.0
Lyra2REv2,0,13332617.94,52500000.0
Quark,2,66053877.63,100000000.0
Scrypt,2,1416663.0659999999,22105263.0
Scrypt,2,269143950.6,1000000000.0
Scrypt,0,5403802.496,1000000000.0
CryptoNight-V7,2,15580199.31,1750000000.0
Cryptonight-GPU,2,4890897.0,88188888.0
XEVAN,2,14746153.1,210000000.0
CryptoNight Heavy,2,99553110529.0,184470000000.0
CryptoNight,2,484454200.0,1000000000.0
X11,2,19269509.94,55000000.0
X11,2,26709236.76,50000000.0
X11,0,30771125.98,50000000.0
Scrypt,2,107763867.9,260000000.0
PoS,2,9327131.597000001,210000000.0
SHA-256,2,2100000000.0,2100000000.0
Keccak,0,4672513.844,366000000.0
X11,2,4504639.0,100000000.0
X11,2,5015881.373,25000000.0
Tribus,0,1859475.61,36500000.0
Scrypt,0,1059954080.0,18000000000.0
NeoScrypt,0,2381470.978,21000000.0
SHA-512,2,1000000000.0,1000000000.0
X16R,2,9753753.615,100000000.0
ECC 256K1,2,1000000000.0,1000000000.0
Equihash,2,4235111504.0,7600000000.0
XEVAN,2,6787405.18,50000000.0
HMQ1725,2,75579791.71,207000000.0
Lyra2Z,2,13634850.0,84000000.0
SHA-512,2,200000000.0,200000000.0
SHA-256,2,17992514.65,21000000.0
Quark,2,14303114.67,38000000.0
PHI1612,2,13969583.38,64000000.0
XEVAN,1,208515864.4,70000000000.0
X11,2,17209923728.0,0.0
CryptoNight,2,1867054873.0,8080000000.0
Quark,0,35312185.74,54000000.0
Blake,2,20595483.85,21000000.0
Blake,2,1578281.313,105120001.4
Blake,2,15846721.25,25228800.0
Blake,2,24156921.99,7000000000.0
Equihash,2,13475920.0,105000000.0
Exosis,2,406091.925,21000000.0
Scrypt,2,35284717.17,120000000.0
Scrypt,0,14777549.39,21000000.0
Equihash,2,35687520.0,262800000.0
Quark,0,18265011.25,19035999.0
Equihash,2,25150787.5,30886000.0
Quark,2,1934701.675,13370000.0
Scrypt,0,30825710000.0,74800000000.0
Lyra2REv2,2,6040583.73,32700000.0
QuBit,2,12925790.42,100000000.0
X11,2,715659.4424,19700000.0
Scrypt,0,20546528.21,84000000.0
XEVAN,0,198938144.4,500000000.0
SHA-256D,0,896361168.0,5000000000.0
X11,0,15420234.54,420000000.0
SHA-256,2,52293836.63,64000000.0
X13,2,1170292.5,2100000.0
SHA-256,2,84613100.0,168000000.0
X11,0,23775960.32,30000000.0
DPoS,2,1000000000.0,1000000000.0
Ethash,2,10000000000.0,10000000000.0
Scrypt,0,15318887081.0,35000000000.0
Scrypt,2,55565076.39,98100000000.0
X11,0,242574105.2,0.0
NeoScrypt,2,3824685012.0,4000000000.0
Scrypt,0,3537150.0,200000000.0
Blake,2,23356790.15,7000000000.0
Scrypt,0,20576532.0,54256119.0
SHA-256,2,4392258.246,21000000.0
Scrypt,0,9631199.992999999,0.0
X11,0,436353624.5,500000000.0
Scrypt,2,780210700.0,1000000000.0
Scrypt,0,980732529.0,10500000000.0
SHA-256,0,17939725045.0,190000000.0
X11,0,494240666.0,1000000000.0
SHA-256,2,22986929.09,42000000.0
Scrypt,0,60000000.0,15000000.0
Scrypt,2,29583989323.0,50000000000.0
Scrypt,0,404316475.5,400000000.0
Groestl,2,73298203.89,105000000.0
X11,0,201364327.4,208000000.0
Scrypt,0,103621876.2,160000000.0
PoS,2,3821245.742,9000000.0
Scrypt,2,5052555.92,5000000.0
Scrypt,2,69684455.44,182000000.0
X11,2,16901016.66,16504333.0
SHA-256,0,74676064.95,105000000.0
DPoS,2,120012140.0,159918400.0
Scrypt,2,10000244678.0,10008835635.0
Scrypt,0,252005564.2,300000000.0
NeoScrypt,0,1120385.005,60168145.0
Multiple,2,3332922.5,2800000.0
X13,0,140777.7534,120000.0
Equihash+Scrypt,2,100000000.0,2100000000.0
Lyra2Z,2,40874452.48,210000000.0
PHI2,0,2233828.13,21000000.0
DPoS,2,1020544523.0,0.0
Ethash,2,24487944.1,24487944.0
DPoS,2,1122382283.0,0.0
SHA-256,2,1000000000.0,1000000000.0
Lyra2Z,0,11086825523.0,100000000000.0
Leased POS,2,100000000.0,100000000.0
PoS,2,9283137.556,8634140.0
Scrypt,2,24924986.09,900000000.0
TRC10,2,989989000000.0,990000000000.0
Equihash,2,11000068.27,11000000.0
PoS,2,1000000000.0,1000000000.0
SHA-256,2,1999999995.0,2000000000.0
Scrypt,0,14931046.15,250000000.0
CryptoNight,2,980222595.0,1400222610.0
Equihash,2,7296537.5,21000000.0
Scrypt,2,128326.9963,1000000.0
Scrypt,0,21491213.46,100000000.0
